ONTOLOGY,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
BP,GO:0050808,synapse organization,16/241,479/23328,4.22804305188592e-05,0.0397353315020066,0.0344508639969103,Trem2/Chchd10/Kirrel3/Rapgef4/Nfia/Tiam1/Pcdh8/Tanc1/Epha7/Ctnnd2/Igf1r/Atp2b2/Slitrk5/Lrrn1/Adgrl2/Cacng2,16
BP,GO:0007409,axonogenesis,16/241,482/23328,4.55336197781986e-05,0.0397353315020066,0.0344508639969103,Arhgap4/Nefh/Omg/Ptprm/Egr2/Tenm2/Tiam1/Epha7/Map1b/Mycbp2/Foxp1/Raph1/Igf1r/Slitrk5/Pak2/Adcy1,16
BP,GO:0046883,regulation of hormone secretion,12/241,303/23328,8.01537623006025e-05,0.0397353315020066,0.0344508639969103,Cftr/Nkx3-1/Tfr2/Ano1/Stxbp5l/Vsnl1/Pde8b/Tiam1/Tmf1/Fgfr1/Snap25/Chd7,12
BP,GO:0035023,regulation of Rho protein signal transduction,8/241,138/23328,9.66949075845904e-05,0.0397353315020066,0.0344508639969103,Rasgrf1/Bcl6/Met/Lpar2/Tiam1/Arhgef10/Trio/Akap13,8
BP,GO:0046879,hormone secretion,13/241,364/23328,0.000115116458242128,0.0397353315020066,0.0344508639969103,Cftr/Nkx3-1/Tfr2/Ano1/Stxbp5l/Rapgef4/Vsnl1/Pde8b/Tiam1/Tmf1/Fgfr1/Snap25/Chd7,13
BP,GO:0007266,Rho protein signal transduction,9/241,181/23328,0.000116277052993577,0.0397353315020066,0.0344508639969103,Rasgrf1/Bcl6/Met/Lpar2/Tiam1/Arhgef10/Trio/Akap13/Cdc42ep3,9
BP,GO:0071333,cellular response to glucose stimulus,8/241,144/23328,0.000130046624825439,0.0397353315020066,0.0344508639969103,Cftr/Mlxipl/Ano1/Zbtb20/Vsnl1/Pde8b/Tiam1/Igf1r,8
BP,GO:0009749,response to glucose,9/241,185/23328,0.000137218795042965,0.0397353315020066,0.0344508639969103,Cftr/Mlxipl/Ncf2/Ano1/Zbtb20/Vsnl1/Pde8b/Tiam1/Igf1r,9
BP,GO:0009914,hormone transport,13/241,372/23328,0.000142708348015552,0.0397353315020066,0.0344508639969103,Cftr/Nkx3-1/Tfr2/Ano1/Stxbp5l/Rapgef4/Vsnl1/Pde8b/Tiam1/Tmf1/Fgfr1/Snap25/Chd7,13
BP,GO:0071331,cellular response to hexose stimulus,8/241,146/23328,0.000143075000053337,0.0397353315020066,0.0344508639969103,Cftr/Mlxipl/Ano1/Zbtb20/Vsnl1/Pde8b/Tiam1/Igf1r,8
BP,GO:0071326,cellular response to monosaccharide stimulus,8/241,147/23328,0.000149981817722542,0.0397353315020066,0.0344508639969103,Cftr/Mlxipl/Ano1/Zbtb20/Vsnl1/Pde8b/Tiam1/Igf1r,8
BP,GO:0009746,response to hexose,9/241,188/23328,0.000154916700372945,0.0397353315020066,0.0344508639969103,Cftr/Mlxipl/Ncf2/Ano1/Zbtb20/Vsnl1/Pde8b/Tiam1/Igf1r,9
BP,GO:0034284,response to monosaccharide,9/241,189/23328,0.000161223255157955,0.0397353315020066,0.0344508639969103,Cftr/Mlxipl/Ncf2/Ano1/Zbtb20/Vsnl1/Pde8b/Tiam1/Igf1r,9
BP,GO:0006753,nucleoside phosphate metabolic process,14/241,436/23328,0.000191974863468312,0.0432051423378024,0.0374592189465341,Mlxipl/Ak5/Ncf2/Trem2/Nt5e/Il4/Zbtb20/Ppcdc/Acot2/Entpd7/Nudt12/Rhoq/Atp2b2/Adcy1,14
