baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	ENSEMBL	ENTREZID
Ccr9	1359.55555618982	2.61479610646632	0.167979626066934	15.5661502986345	1.23627412001735e-54	1.6953027007798e-50	ENSMUSG00000029530	12769
Tcf7	3988.11717582712	-1.97563027696293	0.128253445323541	-15.4041107588109	1.53587342734472e-53	1.05307161545891e-49	ENSMUSG00000000782	21414
Ctla2a	2550.43204619909	-2.3182981616688	0.155711928915244	-14.8883786734841	3.92164429027245e-50	1.79258360508354e-46	ENSMUSG00000044258	13024
Art3	358.224006631555	-3.21451324306917	0.258081320058124	-12.4554277789079	1.30649066042421e-35	4.47897660659931e-32	ENSMUSG00000034842	109979
I830127L07Rik	248.929066764056	-2.83142438174375	0.281503287338234	-10.0582284793773	8.4505229275607e-24	2.3176404181128e-20	NA	NA
Id3	597.885352428507	-2.28833198247497	0.230052166269526	-9.94701340822841	2.59865038377623e-23	5.93921545212057e-20	ENSMUSG00000007872	15903
Cables1	360.042642788833	-2.31585341820943	0.233194450417011	-9.93099713165597	3.05188201318645e-23	5.97863686383226e-20	ENSMUSG00000040957	63955
Tnfsf8	390.251910069247	-2.2703868001216	0.232120380044427	-9.78107480130378	1.35761101017726e-22	2.3271149728201e-19	ENSMUSG00000028362	21949
Havcr2	1899.03926059773	1.25310318752587	0.134992113071656	9.28278814970992	1.65100559839996e-20	2.51558219676208e-17	ENSMUSG00000020399	171285
Fli1	2351.62985022638	1.11758584106318	0.124598072016474	8.96952756151327	2.97788946632707e-19	4.08357982517431e-16	ENSMUSG00000016087	14247
Rpl36-ps12	1230.09071467393	-1.33318905654276	0.149919325175698	-8.89270982897187	5.96363989947603e-19	7.43449035831952e-16	NA	100043718
Flna	8245.26129751465	1.49712216460723	0.170163313119132	8.79814889099559	1.39091416405056e-18	1.58946716096878e-15	ENSMUSG00000031328	192176
Itgb1	8674.83206184163	-1.07728251560437	0.123261539871844	-8.73981062320353	2.33501511250695e-18	2.37259725947221e-15	ENSMUSG00000025809	16412
Tnfrsf25	275.139365343524	-2.38796903931656	0.273358564851927	-8.73566570196941	2.42225345530598e-18	2.37259725947221e-15	ENSMUSG00000024793	85030
Cd160	2137.31202627751	-1.08780934325377	0.127608260719984	-8.5245997172612	1.53339160803184e-17	1.40182660806271e-14	ENSMUSG00000038304	54215
Cd96	1411.12188317257	-1.21086941078899	0.143399252529774	-8.44404269497555	3.06547151196171e-17	2.62730067772068e-14	ENSMUSG00000022657	84544
Gm1966	261.422195762265	-2.95462051797237	0.341440554704056	-8.65339654960814	4.99889556998168e-18	3.56871154740992e-14	NA	NA
Slamf6	4985.38060026162	-0.923487827612556	0.112362504252187	-8.21882561054242	2.05505615730426e-16	1.65770500500666e-13	ENSMUSG00000015314	30925
Ccl3	3605.30671116046	1.08725785865703	0.137728709438417	7.89419913313851	2.92185334146422e-15	2.06208552317496e-12	ENSMUSG00000000982	20302
Ighm	5885.34064153814	-0.854616587570071	0.108199898567202	-7.89849712326004	2.82286294070385e-15	2.06208552317496e-12	ENSMUSG00000076617	16019
Trbv13-1	153.541978243458	-2.73214702666636	0.34625360974187	-7.89059507192764	3.00749000681829e-15	2.06208552317496e-12	ENSMUSG00000076467	100124673
Tnfsf10	225.00708812303	2.13518624703374	0.280585893066641	7.60974197133504	2.74643671841071e-14	1.79342317712219e-11	ENSMUSG00000039304	22035
Adam19	1529.3352504474	1.0849879874263	0.143131748409582	7.5803446788167	3.44638130835415e-14	2.14819213097547e-11	ENSMUSG00000011256	11492
Cd83	120.749833101626	-2.8223846736377	0.382535630836686	-7.37809617228219	1.60568970524788e-13	9.5734012730714e-11	ENSMUSG00000015396	12522
