SNL27	SNL45	SHAM24	SHAM35
1:10008726-10009342|Ppp1r42|P	46	64	39	20
1:10038961-10039612|Cspp1|P	72	104	69	52
1:10231543-10232423|Arfgef1|P	73	87	88	106
1:104993900-104994461|Cdh20|P	39	66	43	53
1:105179520-105180165|Gm17634|P	6	54	39	10
1:105355505-105356157|Gm17634|P	35	55	45	49
1:105356387-105357094|Gm17634|P	54	136	59	108
1:105661318-105661826|Pign|P	60	37	77	29
1:105666638-105666975|Relch|P	9	46	52	36
1:105743231-105743782|Relch|P	49	49	29	13
1:105752029-105752885|Relch|P	56	76	59	41
1:105779958-105780614|Tnfrsf11a|P	61	78	62	12
1:105782392-105782792|Tnfrsf11a|P	34	40	30	6
1:105784365-105786911|Tnfrsf11a|P	217	284	207	144
1:105787358-105789895|Tnfrsf11a|P	237	273	201	186
1:105790234-105791191|Tnfrsf11a|P	89	137	70	69
1:105791666-105792103|Tnfrsf11a|P	23	37	33	11
1:105792657-105793013|Tnfrsf11a|P	19	40	6	7
1:105798116-105798681|Tnfrsf11a|P	45	45	40	7
1:105800396-105802013|Tnfrsf11a|P	140	167	132	107
1:105802961-105803754|Tnfrsf11a|P	65	112	70	81
1:105805435-105807247|Tnfrsf11a|P	147	185	130	88
1:105864482-105864823|Tnfrsf11a|P	32	35	28	19
1:105865242-105866212|Tnfrsf11a|P	64	69	28	23
1:105880739-105881330|Tnfrsf11a|P	32	76	51	34
1:105906239-105906680|Gm7160|P	35	12	32	48
1:105971339-105972024|Gm7160|P	35	36	34	50
1:105972396-105972753|Gm7160|P	33	56	24	29
1:105981110-105981557|Gm7160|P	31	56	33	41
1:105993160-105993749|Zcchc2|P	43	69	35	44
1:105995677-105996267|Zcchc2|P	53	46	48	62
1:105997878-105999870|Zcchc2|P	167	211	166	124
1:106029810-106031103|Zcchc2|P	120	198	129	106
1:106172506-106173460|Phlpp1|P	93	152	125	99
1:106173667-106174183|Phlpp1|P	39	41	39	37
1:106199728-106200541|Phlpp1|P	32	84	51	78
1:106231251-106231571|Phlpp1|P	38	37	52	25
1:106241067-106241881|Phlpp1|P	24	45	53	52
1:106244300-106244750|Phlpp1|P	32	44	21	16
1:106274481-106275013|Phlpp1|P	50	43	46	35
1:106279507-106280000|Phlpp1|P	20	49	27	31
1:106316522-106317554|Phlpp1|P	48	82	72	87
1:106320437-106320982|Phlpp1|P	46	43	13	22
1:106369044-106369689|Phlpp1|P	48	58	49	27
1:106402583-106403101|Phlpp1|P	45	28	49	18
1:106407038-106409254|Phlpp1|P	163	239	155	116
1:106547640-106548365|Mir3473f|P	43	46	65	23
1:106548676-106550376|Mir3473f|P	125	179	123	129
1:106570135-106570612|Mir3473f|P	52	39	51	43
1:106695591-106695961|Bcl2|P	29	21	39	26
