Nf1	Nf2	Nf3	Rx1	Rx2	Rx3
0610005C13Rik	2	0	0	3	0	3
0610007P14Rik	241	330	304	211	156	290
0610009B22Rik	188	293	240	234	322	289
0610009L18Rik	10	12	13	4	20	12
0610009O20Rik	430	420	530	396	495	443
0610010B08Rik	34	42	35	27	37	39
0610010F05Rik	918	1250	863	1203	1240	1891
0610010K14Rik	121	155	110	61	48	89
0610011F06Rik	62	85	51	56	58	78
0610012G03Rik	23	27	34	65	119	67
0610030E20Rik	1335	1896	1829	1084	872	1285
0610031J06Rik	399	452	562	275	233	298
0610031O16Rik	0	0	0	0	0	0
0610037L13Rik	334	294	314	344	268	386
0610038B21Rik	13	16	28	19	9	11
0610039K10Rik	3	1	1	0	1	0
0610040B10Rik	29	15	12	29	11	4
0610040F04Rik	7	15	12	3	9	22
0610040J01Rik	30	57	75	25	31	39
0610043K17Rik	85	144	122	85	85	136
1010001N08Rik	1	4	4	0	2	2
1100001G20Rik	5	12	4	1	1	5
1110001J03Rik	26	47	28	50	106	41
1110002L01Rik	18	17	47	31	32	28
1110004E09Rik	137	117	111	139	164	177
1110004F10Rik	595	532	454	403	428	568
1110006O24Rik	9	4	8	23	6	3
1110007C09Rik	131	143	105	108	156	111
1110008F13Rik	29	51	67	32	61	47
1110008L16Rik	386	623	359	330	387	310
1110008P14Rik	79	107	86	111	175	183
1110012L19Rik	64	103	76	42	71	73
1110015O18Rik	0	0	0	2	0	0
1110017D15Rik	11	11	8	5	18	19
1110019D14Rik	78	91	73	61	48	69
1110020A21Rik	110	33	117	53	43	74
1110025L11Rik	0	0	0	0	0	0
1110028F11Rik	1	0	4	0	0	0
1110028F18Rik	0	15	0	0	0	0
1110032A03Rik	640	789	501	1032	1078	1020
1110032F04Rik	13	46	10	103	95	260
1110034G24Rik	82	52	46	80	42	42
1110036E04Rik	0	0	0	0	0	0
1110037F02Rik	1235	1112	1365	926	835	1059
1110038B12Rik	230	204	236	159	142	195
1110038F14Rik	66	69	69	66	62	52
1110046J04Rik	153	158	106	144	112	146
1110051M20Rik	168	254	173	159	188	299
1110054M08Rik	10	10	10	13	29	9
1110057K04Rik	619	495	599	614	609	675
1110058L19Rik	32	44	60	58	82	63
1110059E24Rik	404	522	374	403	404	555
1110059G10Rik	86	98	108	63	70	71
1110065P20Rik	2	0	3	4	3	7
1190002F15Rik	5	16	7	7	2	1
1190002N15Rik	244	236	366	390	377	578
1190003K10Rik	0	0	0	0	0	0
1190005I06Rik	1	8	1	5	3	2
1190007I07Rik	19	11	35	30	37	18
1200014J11Rik	1792	2128	1570	1297	1240	1623
1300002E11Rik	3568	4947	3871	3552	3669	4525
1300002K09Rik	8	12	9	1	0	11
1300017J02Rik	0	6	0	9	2	5
1500004A13Rik	470	813	445	541	650	901
1500009C09Rik	1	0	5	22	14	10
1500009L16Rik	76	99	104	37	43	41
1500011B03Rik	138	196	148	259	191	427
1500011K16Rik	59	47	68	66	89	96
1500012F01Rik	123	153	238	91	84	79
1500012K07Rik	2	1	0	2	14	7
1500015A07Rik	79	99	90	48	60	92
1500015L24Rik	0	0	0	0	0	0
1500015O10Rik	19	17	25	8	11	5
1500017E21Rik	17	21	3	3	3	5
1600002D24Rik	0	0	0	0	0	0
1600002H07Rik	77	79	135	56	72	100
1600002K03Rik	17	44	19	6	46	27
1600010M07Rik	25	24	91	1	4	2
1600012H06Rik	821	763	895	635	561	789
1600014C10Rik	219	254	297	172	261	308
1600014C23Rik	0	0	0	0	0	0
1600014K23Rik	0	0	0	0	0	0
1600015I10Rik	0	0	0	0	0	0
1600016N20Rik	1	1	6	3	10	1
1600019K03Rik	0	0	0	0	0	0
1600020E01Rik	57	107	110	39	41	59
1600023N17Rik	10	3	20	10	9	7
1600025M17Rik	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	1	0
1600029I14Rik	6	3	7	0	0	0
1600029O15Rik	62	39	72	22	28	27
1700001C02Rik	0	0	0	0	0	0
1700001C19Rik	0	3	0	0	0	1
1700001D01Rik	107	169	179	158	118	141
1700001F09Rik	0	0	0	0	0	0
1700001G11Rik	0	15	4	0	3	0
1700001G17Rik	5	0	1	10	0	6
1700001J03Rik	6	1	0	1	2	2
1700001J11Rik	5	6	4	5	4	2
