SHAM_rep1	SHAM_rep2	SHAM_rep3	SHAM_rep4	SNL_rep1	SNL_rep2	SNL_rep3	SNL_rep4
ENSMUSG00000000001	501	538	1115	805	333	717	1015	798
ENSMUSG00000000003	0	0	0	0	0	0	0	0
ENSMUSG00000000028	56	9	0	80	55	38	32	46
ENSMUSG00000000031	0	0	1	0	0	0	0	0
ENSMUSG00000000037	0	19	0	6	0	0	0	1
ENSMUSG00000000049	0	0	1	10	0	0	0	2
ENSMUSG00000000056	1733	1609	2511	2004	2693	2604	3219	2038
ENSMUSG00000000058	151	102	320	181	156	103	163	285
ENSMUSG00000000078	2356	2490	3767	2615	2841	2802	4200	2743
ENSMUSG00000000085	448	551	711	832	680	432	790	910
ENSMUSG00000000088	8	21	32	12	16	3	39	34
ENSMUSG00000000093	2	6	0	0	5	0	2	0
ENSMUSG00000000094	0	0	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0
ENSMUSG00000000120	0	0	0	0	0	0	0	1
ENSMUSG00000000125	43	0	0	13	15	7	16	25
ENSMUSG00000000126	0	0	0	1	0	0	0	0
ENSMUSG00000000127	524	376	896	970	905	459	752	694
ENSMUSG00000000131	937	683	1201	1701	1469	827	1003	1047
ENSMUSG00000000134	927	1693	2080	2286	1603	1098	1909	1748
ENSMUSG00000000142	8	10	12	14	3	5	1	10
ENSMUSG00000000148	384	814	880	586	459	375	899	697
ENSMUSG00000000149	1467	1429	1699	1902	1023	1552	2088	2479
ENSMUSG00000000154	4	0	8	23	20	33	35	28
ENSMUSG00000000157	2	0	0	0	28	17	16	16
ENSMUSG00000000159	2	0	3	0	1	0	0	7
ENSMUSG00000000167	12	21	22	0	15	1	7	8
ENSMUSG00000000168	68	227	380	159	197	187	382	265
ENSMUSG00000000171	1775	1574	2760	2053	2138	1453	2258	2834
ENSMUSG00000000182	0	0	0	0	0	0	0	0
ENSMUSG00000000183	0	0	0	0	0	0	0	0
ENSMUSG00000000184	359	273	381	451	349	445	239	642
ENSMUSG00000000194	1154	1249	1912	1794	1467	1097	2204	1907
ENSMUSG00000000197	18	3	49	20	17	4	3	16
ENSMUSG00000000202	11	0	13	6	6	3	4	16
ENSMUSG00000000204	0	0	31	8	20	0	25	0
ENSMUSG00000000214	0	0	0	0	10	0	0	4
ENSMUSG00000000215	0	0	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0	0	0
ENSMUSG00000000223	223	58	267	248	133	86	171	385
ENSMUSG00000000244	552	543	780	759	689	576	1118	1156
ENSMUSG00000000247	0	3	0	0	0	0	0	0
ENSMUSG00000000248	0	2	0	0	1	0	0	0
ENSMUSG00000000253	223	367	302	241	278	218	544	532
ENSMUSG00000000263	12	7	19	6	26	15	1	51
ENSMUSG00000000266	37	48	44	2	45	5	17	42
ENSMUSG00000000275	151	162	395	404	227	226	417	458
ENSMUSG00000000276	38	98	74	110	116	35	42	99
ENSMUSG00000000278	1967	1964	2951	3375	3127	2232	3865	3393
ENSMUSG00000000282	225	201	406	425	261	232	399	270
ENSMUSG00000000290	17769	19380	29566	26868	27479	21370	40525	32108
ENSMUSG00000000295	329	335	255	277	326	207	325	507
ENSMUSG00000000296	263	147	107	198	123	70	123	354
ENSMUSG00000000301	6	6	24	13	27	3	11	14
ENSMUSG00000000303	0	0	0	0	0	0	0	0
ENSMUSG00000000305	11	34	0	0	0	4	0	24
ENSMUSG00000000308	188	92	109	95	197	155	107	385
ENSMUSG00000000317	138	79	95	249	259	174	116	119
ENSMUSG00000000318	0	0	0	6	3	6	0	9
ENSMUSG00000000320	5	23	32	24	26	19	34	28
ENSMUSG00000000325	79	217	188	306	60	115	261	102
ENSMUSG00000000326	3757	4311	5559	5601	5875	4551	6520	6695
ENSMUSG00000000339	17	68	82	50	29	30	103	99
ENSMUSG00000000340	456	352	419	505	532	473	647	779
ENSMUSG00000000346	8322	7270	13485	11622	10601	8291	15215	14077
ENSMUSG00000000355	360	452	581	543	544	326	458	518
ENSMUSG00000000359	0	0	0	8	0	0	12	5
ENSMUSG00000000365	95	107	111	144	172	38	125	130
ENSMUSG00000000374	159	73	92	220	264	151	267	212
ENSMUSG00000000378	870	890	1472	1474	1612	811	1551	1078
ENSMUSG00000000381	0	0	0	0	0	0	0	0
ENSMUSG00000000384	296	222	428	547	212	258	477	520
ENSMUSG00000000385	8	1	22	4	1	0	4	9
ENSMUSG00000000386	215	137	331	316	321	284	434	530
ENSMUSG00000000392	4	0	0	21	3	7	0	5
ENSMUSG00000000394	0	0	0	0	0	0	0	0
ENSMUSG00000000399	1832	1621	2289	1930	2204	1344	2283	2715
ENSMUSG00000000402	146	68	70	101	64	51	80	145
ENSMUSG00000000409	20	34	46	88	43	23	82	62
ENSMUSG00000000411	2	0	0	9	0	0	0	2
ENSMUSG00000000416	70	105	101	78	86	30	45	142
ENSMUSG00000000420	722	542	1154	1040	944	906	1006	862
ENSMUSG00000000435	0	0	0	0	0	0	0	0
ENSMUSG00000000439	435	385	1105	716	336	344	737	675
ENSMUSG00000000440	0	0	21	6	2	1	0	7
ENSMUSG00000000441	258	209	325	334	224	206	375	256
ENSMUSG00000000486	20	58	19	20	20	21	40	22
ENSMUSG00000000489	744	574	1413	1450	604	645	1403	1029
ENSMUSG00000000530	294	379	763	397	232	140	421	610
ENSMUSG00000000531	2	3	0	0	1	1	0	3
ENSMUSG00000000532	31	75	94	47	114	53	125	89
ENSMUSG00000000538	1186	797	1054	1007	1029	569	1146	1788
ENSMUSG00000000544	1	0	1	9	0	0	0	0
ENSMUSG00000000552	217	251	326	394	156	266	486	323
ENSMUSG00000000555	241	582	908	600	393	334	987	643
ENSMUSG00000000560	2380	1677	1444	1577	1587	1487	1373	3707
ENSMUSG00000000561	231	266	351	294	257	166	484	299
ENSMUSG00000000562	1373	1395	1854	2010	2103	1825	2497	2058
ENSMUSG00000000563	2229	1959	2979	2427	1954	1940	2966	3481
ENSMUSG00000000567	238	111	193	184	183	102	191	361
ENSMUSG00000000568	301	259	401	480	543	223	385	378
ENSMUSG00000000579	100	93	202	124	121	74	128	112
ENSMUSG00000000581	658	664	1131	888	820	702	1175	970
ENSMUSG00000000594	15489	12348	21736	17832	18984	15972	26072	26553
ENSMUSG00000000600	1401	1519	2272	2450	2766	1584	2371	1668
ENSMUSG00000000605	3628	3542	5026	5055	5013	3728	6077	5486
ENSMUSG00000000606	0	0	0	0	0	0	0	0
ENSMUSG00000000617	0	0	0	0	0	0	0	0
