KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ENSMUSG00000000001.4	4556	4218	3835	3718	5741	3875	4115	5074	2931	4374	5118	3625
ENSMUSG00000000003.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000028.14	350	579	435	316	432	317	245	621	419	506	545	371
ENSMUSG00000000031.16	268	804	66	207	46	66	336	112	60	69	137	193
ENSMUSG00000000037.16	262	157	184	162	301	233	311	176	94	139	229	186
ENSMUSG00000000049.11	0	0	0	0	0	0	1	0	2	0	1	0
ENSMUSG00000000056.7	1121	1220	918	1178	1761	1233	991	1835	915	1543	1656	1477
ENSMUSG00000000058.6	272	132	60	76	200	188	268	120	57	99	137	154
ENSMUSG00000000078.7	715	791	866	787	1005	1054	595	916	536	986	1171	776
ENSMUSG00000000085.16	263	615	600	406	380	423	193	622	387	457	663	375
ENSMUSG00000000088.7	1418	2022	1795	1616	2066	1360	1275	2545	1456	1926	2760	1667
ENSMUSG00000000093.6	8	13	1	12	12	16	17	27	7	10	27	15
ENSMUSG00000000094.12	2	3	22	0	1	0	1	6	7	1	0	2
ENSMUSG00000000103.12	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000120.6	299	494	532	313	402	312	153	734	494	398	493	353
ENSMUSG00000000125.5	16	39	35	20	44	15	26	29	25	19	47	29
ENSMUSG00000000126.11	19	37	14	14	20	24	4	28	23	27	25	12
ENSMUSG00000000127.14	185	276	272	194	215	159	132	267	186	247	340	151
ENSMUSG00000000131.15	173	342	395	316	235	186	137	492	292	386	510	279
ENSMUSG00000000134.17	193	257	294	140	188	137	102	246	124	208	251	191
ENSMUSG00000000142.15	43	69	70	57	59	62	13	87	52	69	89	58
ENSMUSG00000000148.17	110	170	132	84	174	128	75	199	135	172	172	128
ENSMUSG00000000149.10	1981	2294	1927	1556	2373	1737	1172	3026	1460	2106	2463	1846
ENSMUSG00000000154.16	0	2	0	0	5	0	0	0	0	0	0	0
ENSMUSG00000000157.15	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000159.15	3	1	0	4	8	0	6	11	9	4	2	1
ENSMUSG00000000167.14	11	10	10	15	8	11	16	27	6	6	20	15
ENSMUSG00000000168.9	1222	1099	891	916	1468	1105	1125	1405	725	1130	1188	941
ENSMUSG00000000171.5	2683	2941	2856	2343	3330	2514	2333	3501	2035	2844	3503	2496
ENSMUSG00000000182.9	0	0	0	0	0	0	0	1	0	6	0	0
ENSMUSG00000000183.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000184.12	6124	7539	7488	5023	6578	6046	4853	8624	5298	6241	7353	5163
ENSMUSG00000000194.13	343	485	569	373	519	377	325	586	397	556	699	449
ENSMUSG00000000197.8	196	100	113	116	268	158	225	186	71	123	156	142
ENSMUSG00000000202.9	995	1509	1467	1525	1731	1059	626	2324	1405	1833	2389	1655
ENSMUSG00000000204.16	0	0	0	0	0	0	0	2	0	1	0	0
ENSMUSG00000000214.11	0	1	0	2	1	1	0	5	0	1	3	2
ENSMUSG00000000215.11	0	3	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000216.8	1	3	0	2	17	4	0	7	0	1	0	7
ENSMUSG00000000223.13	30	44	34	34	58	34	29	37	21	58	32	34
ENSMUSG00000000244.17	3	10	0	0	0	6	0	0	3	0	3	0
ENSMUSG00000000247.11	15	19	14	9	24	17	10	30	18	15	43	8
ENSMUSG00000000248.16	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000253.13	37	40	37	37	36	53	54	51	21	51	50	47
ENSMUSG00000000263.15	0	0	0	3	1	0	0	0	0	0	0	0
ENSMUSG00000000266.11	221	105	78	134	327	258	277	183	100	110	128	119
ENSMUSG00000000275.16	56	43	24	32	46	41	34	63	26	31	71	27
ENSMUSG00000000276.11	340	157	186	228	480	370	298	402	127	284	240	257
